cluster_id,cluster_name,target_user,problem,why_now,record_count,signal_count,signal_ids,unique_authors,unique_domains,positive_signal_score,anti_pattern_score,opportunity_score,funnel_stage,top_behavior_counts,anti_pattern_counts,opportunity_hypothesis,next_experiment
C26,Legal/document/compliance drafting workflow,legal/ops/compliance teams,"contracts, policies, reviews, and legal docs are document-heavy and slow","LLMs reduce first draft and review cost, but liability remains",6481,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",5106,586,98.62,13.39,85.2,Worth 3-day experiment,payment:3578; workflow:1528; budget:1182; growth:976; migration:816,no_budget:977; low_value_attention:716; too_custom:286; solved_by_incumbent:106; hard_to_switch:28,"我们观察到legal/ops/compliance teams正在因为contracts, policies, reviews, and legal docs are document-heavy and slow而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：LLMs reduce first draft and review cost, but liability remains。",Sell manual contract review/extraction pilot; success is real docs + budget owner
C07,"Billing, invoicing, accounting, and reconciliation",finance teams / SMB operators,"money movement workflows create direct cost, delay, and error pain",APIs and AI extraction lower back-office automation cost,5402,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",4507,965,96.05,11.75,84.3,Worth 3-day experiment,payment:3128; workflow:2384; budget:799; repetition:724; self_build:687,no_budget:949; low_value_attention:494; too_custom:276; solved_by_incumbent:93; hard_to_switch:21,"我们观察到finance teams / SMB operators正在因为money movement workflows create direct cost, delay, and error pain而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：APIs and AI extraction lower back-office automation cost。",Offer to reconcile one month of transactions; success is paid pilot and error benchmark
C25,Marketplace/service matching manual liquidity,buyers/sellers of services,"users manually search, vet, and match service supply/demand",fragmented services remain hard to search and vet,10700,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",7780,1634,99.61,16.45,83.2,Worth 3-day experiment,budget:4703; payment:4160; growth:2157; workflow:1742; self_build:1232,no_budget:1482; low_value_attention:1023; too_custom:502; solved_by_incumbent:153; hard_to_switch:30,"我们观察到buyers/sellers of services正在因为users manually search, vet, and match service supply/demand而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：fragmented services remain hard to search and vet。",Manually broker 10 transactions; success is completed repeat transaction
C09,"Security, compliance, and audit evidence automation",security/compliance leads / founders,compliance and audit evidence collection is repetitive and high-stakes,regulation and AI risk increase evidence burden,9904,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",7866,1947,99.82,16.71,83.1,Worth 3-day experiment,workflow:3545; payment:3381; self_build:1817; workaround:1387; budget:1272,no_budget:1591; low_value_attention:944; too_custom:579; solved_by_incumbent:173; hard_to_switch:43,我们观察到security/compliance leads / founders正在因为compliance and audit evidence collection is repetitive and high-stakes而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：regulation and AI risk increase evidence burden。,Sell a compliance evidence collection sprint; success is access to policies/tools + paid audit prep
C21,Recruiting/hiring screening workflow,recruiters / hiring managers,"sourcing, screening, interview scheduling, and candidate evaluation are repetitive",AI can process candidate data but trust and bias risks remain,5923,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",4571,989,95.61,12.65,83.0,Worth 3-day experiment,budget:4255; payment:1691; workflow:1242; growth:1109; repetition:792,no_budget:796; low_value_attention:734; too_custom:244; solved_by_incumbent:67; hard_to_switch:11,"我们观察到recruiters / hiring managers正在因为sourcing, screening, interview scheduling, and candidate evaluation are repetitive而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI can process candidate data but trust and bias risks remain。",Paid sourcing/screening sprint with explicit criteria; success is qualified interviews booked
C11,Sales/CRM/lead workflow automation,sales teams / founders / agencies,"lead research, outreach, CRM updates, and follow-up are repetitive",AI research and writing lower SDR task cost,6259,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",5017,934,97.94,15.61,82.3,Worth 3-day experiment,payment:2572; workflow:1545; budget:1392; growth:1180; self_build:1081,no_budget:1103; low_value_attention:752; too_custom:482; solved_by_incumbent:119; hard_to_switch:19,"我们观察到sales teams / founders / agencies正在因为lead research, outreach, CRM updates, and follow-up are repetitive而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI research and writing lower SDR task cost。",Sell a lead list + outreach concierge package; success is paid list/order and meeting rate
C19,Creator/content repurposing and publishing workflow,creators / marketers / agencies,content creation and multi-platform publishing are repetitive and output-driven,AI lowers content production cost but increases volume management,13405,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",10575,3001,99.29,17.16,82.1,Worth 3-day experiment,payment:3952; self_build:3153; workflow:2477; repetition:2128; growth:1874,no_budget:2418; low_value_attention:1827; too_custom:872; solved_by_incumbent:241; hard_to_switch:31,我们观察到creators / marketers / agencies正在因为content creation and multi-platform publishing are repetitive and output-driven而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI lowers content production cost but increases volume management。,Manual repurposing package for 5 posts/videos; success is repeat purchase
C27,Education/learning/personal knowledge workflow,learners / teachers / knowledge workers,"learning, notes, flashcards, and tutoring create repeated knowledge workflows",AI tutors and content generation create new learning behavior,11401,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",8867,1701,99.28,17.13,82.1,Worth 3-day experiment,payment:3749; workflow:2237; self_build:2099; repetition:1726; growth:1720,no_budget:1936; low_value_attention:1759; too_custom:592; solved_by_incumbent:230; hard_to_switch:39,"我们观察到learners / teachers / knowledge workers正在因为learning, notes, flashcards, and tutoring create repeated knowledge workflows而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI tutors and content generation create new learning behavior。",Test paid cohort/learning artifact service; success is repeat sessions or payment
C30,Unclassified but behavior-rich demand,unknown,records with strong behavior signals but no predefined problem cluster,unknown,2652,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",2434,738,87.52,5.82,81.7,Investigate with paid/customer discovery,payment:1419; repetition:782; growth:759; self_build:724; workflow:711,no_budget:318; low_value_attention:236; too_custom:100; solved_by_incumbent:18; hard_to_switch:3,我们观察到unknown正在因为records with strong behavior signals but no predefined problem cluster而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：unknown。,Run discovery interviews before product work
C01,AI coding agent reliability / code workflow,engineering teams / developers,"AI coding and developer workflow creates review, testing, security, and orchestration work",AI coding adoption increases code volume and verification burden,22977,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",17414,3776,99.73,18.7,81.0,Investigate with paid/customer discovery,self_build:6044; workflow:4246; payment:3981; migration:2639; repetition:2627,no_budget:2796; low_value_attention:2282; too_custom:1453; solved_by_incumbent:416; hard_to_switch:49,"我们观察到engineering teams / developers正在因为AI coding and developer workflow creates review, testing, security, and orchestration work而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI coding adoption increases code volume and verification burden。",Sell a paid code-review/agent QA audit for one repo; success is repo access + paid pilot
