project,status,case_group,type,industry,founded_or_launched,revenue,funding,exit_or_scale,initial_product,core_user,value_per_use,use_frequency,value_frequency,pain_intensity,substitute,value_clarity,natural_distribution,market_growth,market_ceiling,endogenous_demand_growth,continuous_value,data_lock_in,switching_cost,delivery_cost,gross_margin,acquisition_method,acquisition_scalability,ltv_pattern,business_model_fit,wedge,expansion_path,vc_fit,failure_reason,pre_product_verifiable_variables,post_product_variables,three_to_seven_day_experiment,strong_signal,classification_notes,source_paths,source_urls
Basecamp / 37signals,Success,Bootstrap,SaaS,Project management,1999/2004,Real revenue; exact current value Unknown,Bootstrap / non-VC,Long-running profitable software company,Simple project collaboration tool,Small teams and service businesses,Medium: coordination saves time and reduces project confusion,Daily/weekly,Recurring workflow value,High for teams with client/project coordination pain,"Email, meetings, spreadsheets, enterprise PM tools",High,Word of mouth / content / reputation,Medium,Medium-large but not necessarily VC-scale by design,Grows with number of projects and collaborators,High recurring workflow,Medium: project history and team workflow,Medium,Low software marginal delivery cost,High software gross margin,"Content, books, reputation, direct sales",Scalable organic but deliberately not hypergrowth,Subscription / long lifetime,Subscription matches recurring team workflow,Simple team/project coordination,Suite of small-business collaboration products,Low/medium: strong business but not necessarily VC hypergrowth,,"pain, substitute, value clarity, willingness to pay, reachable users","retention, expansion, team lock-in",Cold email/service business forums + simple paid pilot for one project/team,Paid account or team moves real project into product,Fact: bootstrap success and product category; inference: structural variables,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\37signals_Getting_Real__bdbeb71465.txt；E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Basecamp_Signal_v_Noise__394e4bdd10.txt,https://basecamp.com/books#gettingreal；https://signalvnoise.com/
Buffer,Success,VC/Revenue,SaaS,Social media productivity,2010,Revenue present; exact value Unknown,VC-backed historically; exact current Unknown,Scaled SaaS brand,Landing page / scheduling offer,Social media managers and small businesses,Medium: saves scheduling time and coordination effort,Daily/weekly,Recurring publishing workflow,Medium/high,"Manual posting, spreadsheets, native social tools",High,Content and social sharing,Growing with social media adoption,Medium-large,More channels/accounts increase need,Recurring schedule and reporting,Low/medium,Low/medium,Low software delivery cost,"High, with support cost","Landing page, content, social",Scalable through content and brand,Subscription,Subscription matches recurring usage,Schedule tweets/social posts,"Publishing, analytics, engagement, AI assistant",Medium,,"offer clarity, price interest, channel reachability","retention, expansion across channels",Landing page with price page + email capture + direct outreach,Users click pricing and convert to paid/customer calls,Fact: local source describes landing page to paying customers; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Buffer_idea_to_paying_customers__01121c22c6.txt；E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\cases_success__Buffer_landing_page_MVP__7.txt,https://buffer.com/resources/idea-to-paying-customers-in-7-weeks-how-we-did-it/；https://medium.com/@joelgascoigne/how-to-successfully-validate-your-idea-with-a-landing-page-mvp-ef3c2d02dc51
Dropbox,Success,VC/Scale,Consumer SaaS / Productivity,File sync/storage,2007,Revenue present; exact value Unknown,VC-backed / public company; exact in local data Unknown,Large-scale public software company,Sync demo/video,Knowledge workers and consumers needing file sync,Medium/high: avoids file transfer and version pain,Daily/weekly,Frequent background value,High when multi-device file sync is painful,"USB, email attachments, FTP, manual sync",High after demo,Referral/product-led sharing,Large and growing cloud storage market,Large,More devices/files increase need,High recurring utility,High: files and sharing links,High after data accumulates,Low software infra marginal but storage cost meaningful,High/medium depending storage cost,"Demo, HN, waitlist, referral",Highly scalable referral/product-led,Freemium + subscription,Subscription matches recurring file utility,Simple file sync,"Storage, collaboration, enterprise",High,,"value clarity via demo, waitlist, sharing need","retention, storage cost, enterprise expansion",Video/demo posted to target community + waitlist,"Users sign up, share, ask for access, continue using after invite",Fact: local source includes MVP video/HN; inference: structural variables,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\cases_success__Dropbox_MVP_video_HN__24.txt；E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Dropbox_MVP_Video_Explained__45bd9b380c.txt；E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Dropbox_go_to_market_story__18a5cfac7a.txt,https://news.ycombinator.com/item?id=8863；https://www.productplan.com/glossary/minimum-viable-product；https://mmtm.io/articles/dropbox-go-to-market-story
Zapier,Success,Bootstrap/VC,Developer tool / Workflow automation,Automation/integration,2011,Revenue present; exact value Unknown,YC and later funding; exact Unknown,Large automation SaaS,Manual/early integrations,"SMBs, operators, developers connecting apps",High: saves repetitive integration work,Daily/weekly/background,Recurring workflow automation value,High for teams doing repetitive app-to-app work,"Manual export/import, custom scripts, engineering work",High,"SEO, integrations marketplace, partner ecosystem",Growing as SaaS tool sprawl grows,Large,More SaaS apps create more integration demand,High recurring automations,High: workflows and app connections,Medium/high,Software scalable; support/integration maintenance cost,High/medium,"SEO, partners, app directories, founder sales",Highly scalable through programmatic SEO/integrations,Subscription/usage tiers,Recurring workflows match subscription/usage,Connect two apps,Automation platform and app ecosystem,High,,"pain, existing manual workaround, app pair demand, willingness to pay","retention, workflow lock-in, integration maintenance",Cold email people asking integration questions + concierge Zap setup,Pays for a workflow or repeatedly uses automation,Fact: local Zapier sources; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Zapier_Early_Growth_Indie_Hackers__6f08c3c34d.txt；E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Zapier_YC_company__e5c1619e32.txt,https://www.indiehackers.com/；https://www.ycombinator.com/companies/zapier
GitLab,Success,Open core / VC,Developer tool,DevOps / source control,2011,Revenue present; exact value Unknown,VC-backed/public; exact Unknown,Large DevOps platform,Open-source Git repository management,Developers and engineering orgs,High: improves development workflow,Daily,Daily workflow/infrastructure value,High for engineering teams,"GitHub, self-hosted Git, manual CI/CD tools",High for developers,"Open source, community, docs",Large and growing developer/DevOps market,Large,More developers/repos increase need,High,"High: repos, CI/CD history, permissions",High,Software scalable with infrastructure/support cost,High/medium,"Open source, community, enterprise sales",Scalable via open-source adoption + sales,Open core / enterprise subscription,Enterprise features monetize team workflow,Self-hosted Git repo,DevSecOps platform,High,,"developer pain, open-source adoption, enterprise need","enterprise expansion, security/compliance adoption",Launch OSS tool to niche developer community + collect team adoption requests,Teams self-host and ask for admin/security/paid features,Fact: local GitLab source exists; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\cases_success__GitLab_handbook_product_development_flow__111.txt,https://handbook.gitlab.com/handbook/product-development-flow/
Shopify,Success,VC/Scale,SaaS / Platform,E-commerce infrastructure,2006,Revenue present; exact value Unknown,VC-backed/public; exact Unknown,Large public commerce platform,Online store software after own store need,Merchants,High: enables online revenue,Daily/weekly,Recurring business infrastructure value,High for merchants wanting online sales,"Custom web dev, marketplaces, manual commerce",High,"Merchant referrals, app ecosystem, partner agencies",E-commerce growth,Very large,More online merchants and apps increase need,High,"High: store data, apps, payments",High,Software scalable; payments/support costs,High/medium,"SEO, partners, agencies, ecosystem",Highly scalable ecosystem,Subscription + payments + app ecosystem,Merchant value maps to subscription and GMV-linked fees,Online storefront,Commerce platform/payments/apps,High,,"merchant pain, existing spend, willingness to pay for store","retention, ecosystem, GMV expansion",Offer a done-for-you store setup for a niche merchant group,Merchant pays setup/subscription or processes real orders,Fact: local Shopify source; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Shopify_origin__471288b86a.txt,https://en.wikipedia.org/wiki/Shopify
Atlassian,Success,Bootstrap/Public,B2B SaaS / Developer productivity,Issue tracking / collaboration,2002,Revenue present; exact value Unknown,Bootstrap early / public; exact Unknown,Large public software company,Developer/team tools,Software teams,High: coordinates engineering work,Daily,Recurring workflow value,High for dev teams,"Spreadsheets, email, internal trackers",High,SEO/content/product-led,Growing software teams market,Large,More teams/projects increase need,High,"High: tickets, workflows, integrations",High,Low software delivery cost,High/medium,Product-led/self-serve,Scalable,Seat-based subscription/license,Team workflow matches per-seat recurring model,Issue tracking/wiki/dev tools,Suite expansion,High,,"team pain, existing workaround, self-serve purchase",enterprise retention/expansion,Sell a simple workflow template/tool to small software teams,Team imports real tickets and pays for seats,"Limited local source; some fields from common public knowledge, mark Unknown where numeric",E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\方法论资料\methodology__Lean_Experiment_Template_Atlassian__73.txt,https://www.atlassian.com/team-playbook/plays/experiment-canvas
Notion,Success,VC/Scale,Productivity / Collaboration,Docs/wiki/workspace,2016,Revenue present; exact value Unknown,VC-backed; exact Unknown,Large productivity company,Flexible workspace/docs,"Individuals, teams, creators",Medium: organizes knowledge/work,Daily/weekly,Recurring workspace value,Medium/high for knowledge workers,"Docs, wikis, spreadsheets, notes",Medium/high,"Templates, sharing, creators",Large productivity market,Large,More teams/docs/templates increase need,High if embedded in workflow,High: documents/databases/history,Medium/high,Low software delivery cost,High/medium,"Templates, community, PLG",Scalable,Freemium + team subscription,Recurring workspace value matches subscription,Flexible notes/docs,"Workspace, AI, enterprise",High,,"template sharing, active community pain, workflow use","retention, team adoption",Publish template/use case to community + measure duplication and team use,"Users duplicate, share, invite team, pay for workspace",Fact: local source exists; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Notion_Company_Story__6437b53034.txt,https://www.notion.com/about
Canva,Success,VC/Scale,Consumer SaaS / Design tool,Design/content creation,2013,Revenue present; exact value Unknown,VC-backed; exact Unknown,Large design platform,Simple browser design tool,"Non-designers, marketers, SMBs",Medium/high: produces usable visual assets,Weekly/daily for creators/marketers,Frequent output value,High for non-designers needing assets,"PowerPoint, Photoshop, designers, templates",High,Output sharing/templates,Growing content creation market,Large,More content channels increase demand,High recurring creation need,Medium: designs/assets/templates,Medium,Software scalable; template/content costs,High/medium,"Templates, SEO, sharing",Highly scalable,Freemium + subscription,Frequency and teams support subscription,Simple design templates,"Design platform, teams, print, AI",High,,"value clarity, output sharing, template demand","retention, team expansion",Launch 3-5 templates for one niche and measure usage/sharing,Users create real assets repeatedly or pay for premium template/workflow,Some fields not directly in local corpus; numeric Unknown,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\方法论资料\methodology__Lean_Experiment_Template_Atlassian__73.txt；E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\方法论资料\Value_Proposition_Canvas_Strategyzer__6f6bb598f9.txt,https://www.atlassian.com/team-playbook/plays/experiment-canvas；https://www.strategyzer.com/library/the-value-proposition-canvas
Calendly,Success,PLG / Revenue,Productivity SaaS,Scheduling,2013,Revenue present; exact value Unknown,Bootstrap early / later VC; exact Unknown,Large scheduling SaaS,Simple scheduling link,Professionals scheduling meetings,Medium: saves back-and-forth coordination,Weekly/daily for sales/recruiting,Frequent coordination value,High in meeting-heavy roles,"Email back-and-forth, assistants, calendar invites",Very high,Use is distribution: recipients see booking link,Growing remote/workflow SaaS adoption,Large,More meetings and teams increase need,High for repeated scheduling,Medium: calendar links/workflows,Medium,Low software delivery cost,High,Product-led link sharing,Highly scalable,Freemium + subscription,High-frequency utility matches subscription,Scheduling link,"Team scheduling, routing, workflows",High,,"value clarity, repeated pain, product-led recipient exposure","retention, team expansion",Send mock scheduling offer to meeting-heavy users; test willingness to switch,Users send link repeatedly and invite team,Some fields not directly in local corpus; numeric Unknown,Unknown,Unknown
